timestamp	x	y	z
1517161169951	8.983	-3.696	1.656
1517161169971	9.002	-3.524	1.695
1517161169973	9.107	-3.323	1.829
1517161169996	9.27	-3.16	1.915
1517161169999	9.462	-3.035	1.848
1517161170016	9.586	-3.026	1.771
1517161170018	9.596	-3.122	1.714
1517161170025	9.548	-3.246	1.647
1517161170034	9.481	-3.38	1.647
1517161170044	9.433	-3.466	1.676
1517161170055	9.423	-3.524	1.714
1517161170071	9.376	-3.581	1.972
1517161170086	9.376	-3.581	1.972
1517161170087	9.385	-3.572	2.097
1517161170093	9.376	-3.61	2.03
1517161170103	9.385	-3.61	2.241
1517161170113	9.376	-3.629	2.164
1517161170124	9.194	-3.591	2.097
1517161170131	9.194	-3.543	1.963
1517161170141	9.069	-3.533	1.925
1517161170155	9.002	-3.524	1.848
1517161170161	8.945	-3.533	1.838
1517161170171	9.05	-3.601	1.867
1517161170185	8.964	-3.629	1.915
1517161170191	9.203	-3.61	1.934
1517161170204	9.213	-3.438	1.953
1517161170214	9.194	-3.438	1.905
1517161170221	9.155	-3.38	1.925
1517161170231	9.184	-3.38	1.944
1517161170245	9.27	-3.399	1.953
1517161170251	9.395	-3.428	2.03
1517161170261	9.519	-3.428	2.097
1517161170275	9.538	-3.495	2.135
1517161170281	9.443	-3.601	2.116
1517161170294	9.27	-3.687	2.097
1517161170306	9.05	-3.782	2.059
1517161170311	8.849	-3.83	2.106
1517161170321	8.705	-3.85	2.174
1517161170334	8.638	-3.897	2.183
1517161170343	8.619	-3.955	2.193
1517161170351	8.609	-4.031	2.183
1517161170365	8.581	-4.099	2.193
1517161170371	8.514	-4.089	2.174
1517161170381	8.437	-4.079	2.183
1517161170395	8.408	-4.079	2.25
1517161170401	8.437	-4.07	2.327
1517161170411	8.542	-4.031	2.451
1517161170424	8.715	-3.936	2.537
1517161170431	8.973	-3.782	2.614
1517161170441	9.194	-3.601	2.71
1517161170457	9.462	-3.361	2.777
1517161170461	9.682	-3.15	2.815
1517161170471	9.807	-2.968	2.739
1517161170485	9.759	-2.834	2.633
1517161170510	9.615	-2.834	2.528
1517161170511	9.433	-2.911	2.451
1517161170512	9.328	-3.102	2.413
1517161170535	9.299	-3.332	2.423
1517161170545	9.318	-3.62	2.442
1517161170549	9.251	-3.802	2.499
1517161170556	9.155	-3.917	2.537
1517161170562	9.031	-3.955	2.547
1517161170576	8.945	-3.936	2.509
1517161170581	8.849	-3.888	2.49
1517161170594	8.705	-3.821	2.48
1517161170611	8.609	-3.811	2.48
1517161170612	8.552	-3.811	2.47
1517161170621	8.514	-3.84	2.442
1517161170636	8.475	-3.84	2.403
1517161170641	8.494	-3.869	2.394
1517161170658	8.561	-3.821	2.49
1517161170666	8.667	-3.735	2.767
1517161170671	8.753	-3.639	2.681
1517161170682	8.81	-3.524	2.691
1517161170696	8.897	-3.447	2.691
1517161170701	8.935	-3.419	2.691
1517161170714	8.973	-3.428	2.633
1517161170727	8.983	-3.505	2.499
1517161170731	8.992	-3.601	2.499
1517161170742	8.983	-3.715	2.47
1517161170755	8.983	-3.83	2.547
1517161170761	8.925	-3.936	2.547
1517161170771	8.839	-4.003	2.71
1517161170785	8.858	-4.041	2.959
1517161170791	9.002	-4.06	2.959
1517161170801	9.27	-3.964	3.026
1517161170817	9.577	-3.811	3.016
1517161170821	9.826	-3.639	2.633
1517161170831	9.95	-3.495	2.614
1517161170847	9.998	-3.428	2.279
1517161170851	10.151	-3.313	2.126
1517161170862	10.898	-3.16	2.135
1517161170876	10.937	-2.921	2.068
1517161170881	11.684	-2.614	1.819
1517161170891	12.814	-2.241	1.407
1517161170906	12.957	-1.781	1.005
1517161170911	12.68	-1.331	0.593
1517161170921	11.942	-1.13	0.028
1517161170937	10.812	-1.388	-0.287
1517161170941	9.787	-1.886	-0.287
1517161170951	9.088	-2.499	-0.229
1517161170969	8.705	-3.131	-0.325
1517161170971	8.571	-4.826	-0.517
1517161170982	8.619	-5.382	-0.469
1517161170998	8.868	-5.765	-0.201
1517161171001	9.117	-5.468	0.21
1517161171013	9.117	-4.98	0.632
1517161171025	8.533	-4.434	1.024
1517161171031	7.891	-4.137	1.608
1517161171043	7.278	-3.945	1.771
1517161171058	6.742	-3.754	1.637
1517161171061	6.483	-3.696	1.35
1517161171073	6.627	-3.83	1.043
1517161171088	6.905	-4.079	0.641
1517161171091	7.125	-4.357	0.095
1517161171103	7.316	-4.606	-0.421
1517161171118	7.383	-4.721	-0.766
1517161171121	7.278	-4.759	-1.197
1517161171133	7.173	-4.798	-1.551
1517161171148	7.048	-5.056	-1.685
1517161171151	7.048	-5.468	-1.608
1517161171163	7.403	-5.688	-1.331
1517161171223	8.016	-5.612	-1.091
1517161171231	8.504	-5.315	-0.909
1517161171238	8.715	-4.731	-0.842
1517161171249	8.657	-4.118	-0.938
1517161171254	8.408	-3.629	-1.101
1517161171262	8.111	-3.246	-1.187
1517161171265	8.188	-2.93	-1.197
1517161171268	8.705	-2.758	-1.187
1517161171269	9.404	-2.844	-1.101
1517161171271	10.036	-3.208	-0.986
1517161171279	10.477	-3.725	-0.737
1517161171288	10.735	-4.07	-0.354
1517161171299	10.812	-4.003	-0.316
1517161171301	10.956	-3.447	-0.536
1517161171320	11.071	-2.863	-0.593
1517161171326	10.678	-2.691	-0.593
1517161171341	10.094	-2.834	-0.555
1517161171349	9.605	-3.064	-0.411
1517161171353	9.443	-3.237	0.038
1517161171369	9.577	-3.217	0.162
1517161171371	10.075	-2.968	0.047
1517161171382	10.783	-2.681	-0.383
1517161171391	10.965	-2.614	-0.507
1517161171403	10.668	-2.739	-0.488
1517161171417	10.477	-2.968	-0.363
1517161171421	10.659	-3.198	-0.229
1517161171432	11.061	-3.447	-0.114
1517161171445	11.463	-3.591	0.239
1517161171451	11.693	-3.543	0.727
1517161171461	11.617	-3.332	1.254
1517161171475	11.214	-3.083	1.685
1517161171481	10.64	-2.892	1.953
1517161171491	10.027	-2.873	2.068
1517161171506	9.51	-2.978	2.03
1517161171511	9.107	-3.141	1.915
1517161171521	8.849	-3.428	1.608
1517161171536	8.676	-3.811	1.551
1517161171541	8.552	-4.271	1.522
1517161171551	8.447	-4.587	1.503
1517161171565	8.38	-4.664	1.283
1517161171571	8.38	-4.52	1.369
1517161171581	8.36	-4.271	1.302
1517161171598	8.284	-4.003	1.187
1517161171601	8.255	-3.821	1.197
1517161171613	8.437	-3.735	1.254
1517161171628	8.743	-3.696	1.455
1517161171631	9.232	-3.744	1.714
1517161171642	9.596	-3.85	2.001
1517161171658	9.749	-3.974	2.231
1517161171661	9.931	-4.06	2.413
1517161171673	9.768	-4.07	2.547
1517161171688	9.443	-4.07	2.557
1517161171691	9.117	-4.003	2.566
1517161171703	8.849	-3.878	2.451
1517161171717	8.629	-3.878	2.375
1517161171721	8.399	-4.108	2.346
1517161171733	8.111	-4.328	2.336
1517161171747	7.853	-4.635	2.432
1517161171751	7.776	-4.96	2.537
1517161171763	7.834	-5.257	2.672
1517161171777	8.044	-5.497	2.853
1517161171781	8.447	-5.64	3.141
1517161171793	8.878	-5.65	3.514
1517161171801	9.136	-5.497	3.821
1517161171811	9.146	-5.152	3.782
1517161171822	8.916	-4.692	3.533
1517161171831	8.6	-4.175	3.102
1517161171841	8.389	-3.687	2.672
1517161171853	8.236	-3.342	2.413
1517161171861	8.217	-3.122	2.355
1517161171896	8.408	-3.055	2.595
1517161171898	8.782	-2.988	2.882
1517161171901	9.27	-2.892	3.016
1517161171905	9.596	-2.748	3.083
1517161171920	9.749	-2.47	3.16
1517161171922	9.864	-2.135	3.227
1517161171931	9.912	-1.733	3.15
1517161171942	9.902	-1.359	2.94
1517161171951	9.816	-1.072	2.767
1517161171961	9.692	-0.928	2.595
1517161171972	9.538	-0.909	2.461
1517161171981	9.366	-1.053	2.346
1517161171991	9.232	-1.254	2.384
1517161172005	9.184	-1.513	2.595
1517161172014	9.184	-1.79	2.758
1517161172021	9.155	-2.02	2.94
1517161172031	9.05	-2.269	3.045
1517161172041	8.945	-2.509	3.055
1517161172051	8.878	-2.71	2.94
1517161172062	8.82	-2.873	2.921
1517161172071	8.772	-2.988	2.863
1517161172081	8.753	-3.074	2.815
1517161172091	8.686	-3.17	2.806
1517161172101	8.609	-3.284	2.815
1517161172111	8.571	-3.38	2.806
1517161172123	8.504	-3.447	2.853
1517161172131	8.485	-3.409	2.815
1517161172154	8.609	-3.361	2.796
1517161172161	8.753	-3.352	2.633
1517161172172	8.925	-3.332	2.403
1517161172183	9.069	-3.332	2.336
1517161172191	9.155	-3.294	2.394
1517161172201	9.146	-3.342	2.317
1517161172213	9.079	-3.399	2.432
1517161172221	9.021	-3.505	2.499
1517161172232	9.059	-3.601	2.509
1517161172243	9.174	-3.715	2.499
1517161172251	9.261	-3.85	2.566
1517161172261	9.261	-3.926	2.557
1517161172273	9.213	-3.917	2.767
1517161172281	9.136	-3.811	2.624
1517161172291	9.088	-3.668	2.786
1517161172303	9.079	-3.591	2.767
1517161172311	9.127	-3.533	2.767
1517161172321	9.232	-3.495	2.758
1517161172333	9.299	-3.409	2.767
1517161172349	9.299	-3.15	2.729
1517161172351	9.299	-3.15	2.681
1517161172363	9.51	-3.055	2.643
1517161172371	9.826	-2.988	2.633
1517161172381	9.864	-3.007	2.681
1517161172394	9.96	-3.074	2.681
1517161172401	9.969	-3.102	2.595
1517161172411	9.931	-3.112	2.461
1517161172423	9.979	-2.93	2.26
1517161172431	10.123	-3.035	1.925
1517161172441	10.458	-2.882	1.752
1517161172453	10.841	-2.375	1.838
1517161172461	11.233	-1.666	1.743
1517161172471	11.904	-0.938	1.494
1517161172483	12.593	-0.277	1.139
1517161172491	12.852	0.191	0.373
1517161172501	12.641	0.21	-0.162
1517161172515	11.885	-0.699	-0.019
1517161172521	10.87	-2.279	0.114
1517161172531	9.768	-3.974	0.172
1517161172544	9.098	-5.219	0.45
1517161172551	9.127	-5.803	0.814
1517161172561	9.481	-5.861	1.235
1517161172574	9.567	-5.516	1.819
1517161172606	9.318	-4.817	2.02
1517161172609	8.983	-3.993	1.81
1517161172615	8.83	-3.409	1.455
1517161172621	8.571	-3.208	1.197
1517161172623	8.245	-3.457	1.024
1517161172638	7.891	-3.926	0.909
1517161172644	7.489	-4.194	0.823
1517161172657	7.249	-4.261	0.881
1517161172661	7.039	-4.252	1.139
1517161172671	6.79	-4.386	1.177
1517161172681	6.656	-4.462	0.861
1517161172693	6.723	-4.376	0.268
1517161172701	6.809	-4.213	-0.325
1517161172711	6.838	-4.233	-0.66
1517161172722	6.885	-4.28	-0.718
1517161172731	7.211	-4.051	-0.708
1517161172741	7.91	-3.466	-0.641
1517161172752	8.667	-2.796	-0.622
1517161172761	9.174	-2.442	-0.67
1517161172771	9.308	-2.442	-0.785
1517161172783	9.194	-2.633	-0.814
1517161172791	9.136	-3.007	-0.612
1517161172801	9.184	-3.505	-0.258
1517161172814	9.155	-4.051	0.229
1517161172821	9.27	-4.367	0.938
1517161172831	9.73	-4.079	1.273
1517161172844	10.525	-3.179	1.11
1517161172851	11.396	-2.078	1.015
1517161172861	11.521	-1.426	0.9
1517161172874	10.927	-1.321	0.459
1517161172881	10.161	-1.637	0.124
1517161172891	9.49	-2.288	0.067
1517161172904	9.069	-2.873	0.9
1517161172911	9.165	-3.122	0.9
1517161172921	9.749	-2.978	1.197
1517161172936	10.649	-2.595	1.082
1517161172941	11.664	-2.106	1.082
1517161172951	11.942	-1.915	0.996
1517161172964	11.377	-2.097	0.603
1517161172971	10.515	-2.413	0.593
1517161172981	9.854	-2.624	0.833
1517161172994	9.682	-2.729	0.967
1517161173001	10.036	-2.652	1.12
1517161173011	10.506	-2.557	1.312
1517161173025	10.458	-2.566	1.407
1517161173031	10.458	-2.748	1.331
1517161173041	10.103	-3.055	1.264
1517161173054	9.653	-3.352	1.235
1517161173061	9.682	-3.581	1.225
1517161173071	9.711	-3.677	1.359
1517161173085	9.376	-3.629	1.484
1517161173091	8.887	-3.514	1.513
1517161173101	8.456	-3.419	1.426
1517161173115	8.159	-3.332	1.331
1517161173121	8.025	-3.371	1.312
1517161173131	7.987	-3.591	1.359
1517161173144	8.15	-3.706	1.369
1517161173151	8.389	-3.687	1.35
1517161173161	8.619	-3.763	1.34
1517161173174	8.772	-3.696	1.321
1517161173181	8.782	-3.553	1.254
1517161173191	8.6	-3.409	1.158
1517161173204	8.284	-3.323	1.063
1517161173211	8.044	-3.38	1.072
1517161173221	8.169	-3.438	1.149
1517161173234	8.667	-3.533	1.379
1517161173241	9.289	-3.677	1.637
1517161173251	10.046	-3.792	1.953
1517161173264	10.889	-3.83	2.288
1517161173271	11.578	-3.715	2.547
1517161173302	12.0	-3.457	2.748
1517161173304	12.048	-3.102	2.93
1517161173308	11.703	-2.777	3.179
1517161173313	11.08	-2.557	3.342
1517161173329	10.381	-2.499	3.332
1517161173333	9.72	-2.528	3.179
1517161173341	9.203	-2.614	2.921
1517161173353	8.772	-2.729	2.624
1517161173361	8.437	-2.853	2.384
1517161173371	8.245	-2.968	2.174
1517161173385	8.169	-3.045	2.039
1517161173391	8.178	-3.131	2.02
1517161173401	8.245	-3.179	2.03
1517161173414	8.274	-3.265	1.982
1517161173421	8.217	-3.38	1.896
1517161173431	8.188	-3.533	1.877
1517161173443	8.198	-3.648	1.972
1517161173451	8.255	-3.668	2.106
1517161173461	8.322	-3.677	2.241
1517161173472	8.36	-3.658	2.164
1517161173480	8.303	-3.763	1.963
1517161173491	8.332	-3.936	1.896
1517161173502	8.504	-4.099	1.857
1517161173511	8.763	-4.252	1.972
1517161173521	9.069	-4.348	2.164
1517161173534	9.433	-4.395	2.413
1517161173541	9.682	-4.453	2.614
1517161173551	9.711	-4.462	2.509
1517161173564	9.557	-4.453	2.308
1517161173571	9.356	-4.405	2.087
1517161173581	9.136	-4.338	1.886
1517161173595	8.992	-4.28	1.8
1517161173601	8.964	-4.252	1.829
