timestamp	x	y	z
1517160860507	-10.324	0.402	-0.871
1517160860531	-10.305	0.411	-0.852
1517160860532	-10.276	0.402	-0.794
1517160860534	-10.247	0.373	-0.775
1517160860561	-10.142	0.383	-0.766
1517160860572	-10.075	0.363	-0.727
1517160860573	-10.036	0.411	-0.727
1517160860581	-9.979	0.45	-0.679
1517160860594	-9.96	0.459	-0.622
1517160860601	-9.931	0.44	-0.612
1517160860611	-9.921	0.392	-0.603
1517160860631	-9.921	0.344	-0.593
1517160860641	-9.912	0.335	-0.565
1517160860655	-9.931	0.335	-0.536
1517160860661	-9.902	0.287	-0.574
1517160860673	-9.874	0.239	-0.584
1517160860685	-9.807	0.201	-0.555
1517160860691	-9.73	0.172	-0.517
1517160860701	-9.596	0.162	-0.44
1517160860719	-9.481	0.105	-0.478
1517160860776	-9.5	0.114	-0.593
1517160860776	-9.538	0.124	-0.43
1517160860778	-9.443	0.076	-0.43
1517160860779	-9.376	-0.009	-0.268
1517160860781	-9.385	-0.038	-0.268
1517160860784	-9.414	-0.028	-0.402
1517160860794	-9.423	-0.009	-0.584
1517160860821	-9.299	-0.028	-0.44
1517160860831	-9.146	-0.028	-0.44
1517160860838	-9.021	-0.057	-0.316
1517160860839	-9.05	-0.028	-0.306
1517160860854	-9.098	0.067	-0.306
1517160860856	-9.117	0.134	-0.383
1517160860865	-9.194	0.201	-0.363
1517160860884	-9.194	0.191	-0.363
1517160860885	-9.232	0.162	-0.249
1517160860901	-9.251	-0.067	-0.229
1517160860905	-9.251	-0.067	-0.229
1517160860911	-9.261	-0.172	-0.344
1517160860924	-9.328	-0.335	-0.402
1517160860931	-9.328	-0.335	-0.392
1517160860947	-9.376	-0.43	-0.383
1517160860952	-9.414	-0.459	-0.383
1517160860961	-9.404	-0.44	-0.44
1517160860971	-9.376	-0.392	-0.517
1517160860982	-9.165	-0.335	-0.555
1517160860991	-9.012	-0.22	-0.565
1517160861001	-9.002	-0.057	-0.612
1517160861015	-8.983	0.268	-0.641
1517160861021	-8.973	0.249	-0.622
1517160861031	-8.973	0.306	-0.555
1517160861044	-8.973	0.325	-0.478
1517160861051	-8.992	0.172	-0.469
1517160861061	-8.954	0.277	-0.469
1517160861074	-8.887	0.047	-0.507
1517160861081	-8.772	0.124	-0.555
1517160861091	-8.676	-0.019	-0.632
1517160861104	-8.638	0.047	-0.67
1517160861111	-8.724	0.22	-0.679
1517160861121	-8.878	0.459	-0.622
1517160861134	-9.117	0.622	-0.545
1517160861151	-9.548	0.66	-0.306
1517160861165	-9.634	0.517	-0.162
