timestamp	x	y	z
1513854290128	-9.528923	0.21068975	1.685518
1513854290131	-9.5385	0.16280572	1.6567876
1513854290145	-9.548077	0.11492168	1.6280571
1513854290147	-9.5385	0.095768064	1.6663644
1513854290160	-9.528923	0.12449849	1.7525556
1513854290166	-9.576807	0.1436521	1.8291701
1513854290176	-9.615114	0.15322891	1.8195933
1513854290190	-9.643845	0.16280572	1.7142484
1513854290200	-9.634268	0.17238252	1.6184803
1513854290207	-9.653421	0.15322891	1.5801731
1513854290216	-9.662998	0.12449849	1.6280571
1513854290226	-9.653421	0.10534488	1.7046716
1513854290236	-9.634268	0.095768064	1.7429788
1513854290246	-9.605537	0.10534488	1.7621324
1513854290256	-9.576807	0.11492168	1.7717092
1513854290266	-9.557653	0.10534488	1.7621324
1513854290277	-9.548077	0.11492168	1.7812861
1513854290289	-9.56723	0.10534488	1.8100165
1513854290296	-9.576807	0.11492168	1.8483237
1513854290306	-9.586384	0.10534488	1.8579005
1513854290316	-9.576807	0.11492168	1.8674773
1513854290328	-9.56723	0.10534488	1.8483237
1513854290339	-9.548077	0.1340753	1.8387469
1513854290347	-9.528923	0.15322891	1.8483237
1513854290358	-9.519346	0.16280572	1.8579005
1513854290367	-9.548077	0.15322891	1.8387469
1513854290378	-9.576807	0.1436521	1.8291701
1513854290390	-9.586384	0.1340753	1.8387469
1513854290398	-9.595961	0.1436521	1.8483237
1513854290408	-9.586384	0.15322891	1.8579005
1513854290419	-9.576807	0.16280572	1.8291701
1513854290428	-9.56723	0.17238252	1.7908629
1513854290440	-9.548077	0.19153613	1.7717092
1513854290448	-9.528923	0.20111294	1.7812861
1513854290458	-9.519346	0.19153613	1.7717092
1513854290468	-9.548077	0.17238252	1.7621324
1513854290479	-9.56723	0.16280572	1.733402
1513854290488	-9.605537	0.15322891	1.6950948
1513854290498	-9.634268	0.16280572	1.6663644
1513854290509	-9.624691	0.19153613	1.6759412
1513854290518	-9.615114	0.21068975	1.6663644
1513854290528	-9.586384	0.22026655	1.6759412
1513854290538	-9.56723	0.20111294	1.685518
1513854290548	-9.557653	0.19153613	1.7046716
1513854290559	-9.576807	0.18195933	1.7142484
1513854290568	-9.586384	0.19153613	1.7238252
1513854290578	-9.595961	0.17238252	1.7142484
1513854290588	-9.586384	0.18195933	1.7238252
1513854290598	-9.56723	0.19153613	1.7525556
1513854290609	-9.528923	0.17238252	1.8100165
1513854290618	-9.490616	0.16280572	1.8770541
1513854290628	-9.452309	0.19153613	1.9728222
1513854290638	-9.414001	0.2681506	2.1068976
1513854290648	-9.442732	0.38307226	2.2888567
1513854290660	-9.56723	0.5554548	2.432509
1513854290673	-9.749189	0.7565677	2.4995465
1513854290681	-9.931149	0.92895025	2.4612393
1513854290689	-10.084377	1.0055647	2.336741
1513854290699	-10.189722	0.94810385	2.2122424
1513854290709	-10.266336	0.7757214	2.1547816
1513854290723	-10.352529	0.50757074	2.2026656
1513854290729	-10.486604	0.20111294	2.327164
1513854290739	-10.668563	-0.11492168	2.4516625
1513854290749	-10.888829	-0.39264908	2.5378537
1513854290759	-11.109096	-0.5650316	2.5953147
1513854290773	-11.300632	-0.6607997	2.6048915
1513854290780	-11.463438	-0.6991069	2.566584
1513854290789	-11.568783	-0.7182605	2.4899697
1513854290799	-11.559206	-0.7086837	2.384625
1513854290809	-11.425131	-0.63206923	2.2984335
1513854290822	-11.176133	-0.46926352	2.2505496
1513854290830	-10.879252	-0.2777274	2.2409728
1513854290839	-10.601525	-0.10534488	2.2026656
1513854290849	-10.390836	-0.02873042	2.1068976
1513854290860	-10.218452	-0.009576807	1.9632454
1513854290872	-10.065224	0.0	1.8100165
1513854290907	-9.911995	0.019153614	1.7429788
1513854290910	-9.701305	0.02873042	1.7525556
1513854290911	-9.452309	0.009576807	1.7046716
1513854290912	-9.14585	0.019153614	1.6089035
1513854290920	-8.801085	0.047884032	1.484405
1513854290929	-8.42759	0.095768064	1.340753
1513854290940	-8.073248	0.16280572	1.1779473
1513854290970	-7.785944	0.2681506	1.0055647
1513854290971	-7.603985	0.4309563	0.81402856
1513854290972	-7.517793	0.61291564	0.009576807
1513854290979	-7.4986396	0.7469909	0.45968673
1513854290990	-7.5465236	0.7565677	0.19153613
1513854290999	-7.632715	0.63206923	0.20111294
1513854291010	-7.73806	0.45968673	0.11492168
1513854291020	-7.872135	0.25857377	0.095768064
1513854291030	-8.015787	0.038307227	0.1436521
1513854291040	-8.178593	-0.20111294	0.21068975
1513854291050	-8.331821	-0.45010993	0.29688102
1513854291062	-8.408437	-0.80445176	0.50757074
1513854291070	-8.37013	-0.79487497	1.1204864
1513854291083	-8.1402855	-0.9768343	0.8331822
1513854291090	-8.130709	-0.9672575	1.0151415
1513854291104	-8.121132	-1.043872	1.1779473
1513854291112	-8.599973	-1.1779473	1.2641385
1513854291120	-8.590396	-1.7908629	1.292869
1513854291130	-8.973468	-1.3311762	1.3024458
1513854291141	-9.5385	-1.3790601	1.283292
1513854291153	-9.528923	-1.3694834	1.292869
1513854291161	-9.308656	-1.3215994	1.3024458
1513854291170	-8.762778	-1.1779473	1.2545617
1513854291180	-8.130709	-0.9768343	1.2641385
1513854291191	-7.6614456	-0.7757214	1.3024458
1513854291204	-7.575254	-0.60333884	1.292869
1513854291211	-7.97748	-0.46926352	1.1300632
1513854291221	-8.734048	-0.40222588	0.8619126
1513854291231	-9.519346	-0.4309563	0.63206923
1513854291244	-10.084377	-0.48841715	0.50757074
1513854291253	-10.314221	-0.49799395	0.46926352
1513854291261	-10.180145	-0.40222588	0.4405331
1513854291271	-9.758766	-0.18195933	0.45010993
1513854291281	-9.251195	0.10534488	0.545878
1513854291291	-8.973468	0.37349546	0.6703765
1513854291302	-9.165004	0.5554548	0.7374141
1513854291311	-9.835381	0.5650316	0.7086837
1513854291323	-10.697293	0.40222588	0.6607997
1513854291331	-11.425131	0.15322891	0.6799533
1513854291341	-11.731588	-0.1436521	0.8523358
1513854291353	-11.540052	-0.47884035	1.2066777
1513854291362	-11.022904	-0.78529817	1.7142484
1513854291372	-10.5440645	-1.0247183	2.231396
1513854291382	-10.46745	-1.1683705	2.566584
1513854291393	-10.907983	-1.2258313	2.5953147
1513854291403	-11.664551	-1.2066777	2.3463178
1513854291413	-12.373235	-1.1587936	1.9728222
1513854291422	-12.670115	-1.091756	1.6950948
1513854291432	-12.29662	-1.0055647	1.6472107
1513854291442	-11.358093	-0.8523358	1.8483237
1513854291452	-10.247183	-0.59376204	2.1739352
