timestamp	x	y	z
1511030091187	5.995	5.88	4.711
1511030091195	6.033	5.861	4.711
1511030091247	6.062	5.851	4.711
1511030091251	6.081	5.842	4.759
1511030091252	6.062	5.803	4.807
1511030091252	6.033	5.832	4.893
1511030091253	6.033	5.861	4.855
1511030091255	6.043	5.889	4.798
1511030091267	6.014	5.899	4.846
1511030091270	6.043	5.899	4.826
1511030091281	6.071	5.87	4.817
1511030091287	6.091	5.822	4.644
1511030091299	6.033	5.794	4.75
1511030091307	6.033	5.784	4.75
1511030091317	6.043	5.794	4.75
1511030091331	6.024	5.794	4.74
1511030091347	6.004	5.803	4.702
1511030091360	6.177	5.822	4.74
1511030091367	6.043	5.803	4.778
1511030091379	6.081	5.813	4.817
1511030091389	6.081	5.842	4.788
1511030091397	6.119	5.87	4.826
1511030091407	6.11	5.889	4.836
1511030091420	6.081	5.88	4.826
1511030091427	6.052	5.87	4.855
1511030091437	6.033	5.87	4.817
1511030091450	6.043	5.889	4.798
1511030091457	6.062	5.909	4.836
1511030091470	6.091	5.956	4.721
1511030091480	6.071	5.899	4.788
1511030091487	6.014	5.822	4.788
1511030091497	6.014	5.794	4.798
1511030091509	6.014	5.832	4.817
1511030091517	6.004	5.851	4.807
1511030091527	6.014	5.899	4.817
1511030091540	6.033	5.937	4.788
1511030091547	6.052	5.947	4.731
1511030091560	6.052	5.947	4.721
1511030091581	6.033	5.918	4.74
1511030091592	6.033	5.918	4.75
1511030091599	6.033	5.956	4.75
1511030091601	6.062	5.976	4.75
1511030091611	6.071	6.043	4.769
1511030091619	6.1	6.043	4.74
1511030091636	6.1	6.014	4.74
1511030091637	6.1	5.995	4.75
1511030091649	6.091	5.985	4.759
1511030091661	6.071	5.956	4.74
1511030091667	6.062	5.947	4.74
1511030091677	6.071	5.966	4.75
1511030091689	6.091	5.995	4.74
1511030091697	6.1	6.004	4.702
1511030091733	6.129	5.966	4.721
1511030091734	6.081	5.956	4.74
1511030091735	6.043	5.909	4.74
1511030091740	5.985	5.909	4.731
1511030091749	5.976	5.928	4.731
1511030091757	5.976	5.947	4.692
1511030091767	6.014	5.956	4.673
1511030091782	6.052	5.937	4.683
1511030091787	6.071	5.937	4.731
1511030091801	6.062	5.947	4.711
1511030091809	6.014	5.937	4.75
1511030091817	5.995	5.928	4.759
1511030091827	6.014	5.937	4.74
1511030091840	6.043	5.918	4.759
1511030091850	6.043	5.899	4.759
1511030091857	6.033	5.918	4.75
1511030091870	6.014	5.928	4.74
1511030091877	5.995	5.947	4.711
1511030091887	6.024	5.937	4.711
1511030091901	6.004	5.928	4.74
1511030091909	6.004	5.985	4.721
1511030091964	5.985	5.995	4.702
1511030091965	5.956	6.004	4.711
1511030091966	5.947	5.966	4.721
1511030091967	5.947	5.928	4.75
1511030091967	5.966	5.899	4.759
1511030091968	6.043	5.88	4.635
1511030091977	6.205	5.937	4.75
1511030091993	6.349	6.004	4.769
1511030091997	6.349	6.052	4.769
1511030092010	6.234	6.024	4.836
1511030092076	6.158	5.928	4.836
1511030092085	6.148	5.861	4.865
1511030092092	6.129	5.832	4.855
1511030092103	6.11	5.832	4.826
1511030092111	6.091	5.842	4.721
1511030092117	6.1	5.861	4.635
1511030092118	6.129	5.842	4.577
1511030092119	6.167	5.832	4.539
1511030092120	6.119	5.813	4.51
1511030092121	6.062	5.803	4.529
1511030092123	6.052	5.803	4.606
1511030092132	6.062	5.832	4.692
1511030092144	6.033	5.832	4.798
1511030092147	6.052	5.832	4.846
1511030092157	6.091	5.822	4.874
1511030092169	6.091	5.803	4.855
1511030092177	6.052	5.822	4.922
1511030092187	6.014	5.842	4.97
1511030092200	5.947	5.88	4.96
1511030092207	5.88	5.87	4.874
1511030092218	5.889	5.851	4.759
1511030092230	5.928	5.899	4.673
1511030092237	5.928	5.956	4.654
1511030092247	5.909	5.899	4.683
1511030092262	5.861	5.822	4.711
1511030092267	5.851	5.813	4.778
1511030092289	5.937	5.755	4.664
1511030092297	5.909	5.688	4.721
1511030092307	5.851	5.65	4.731
1511030092319	5.822	5.669	4.778
1511030092346	5.851	5.688	4.826
1511030092347	5.976	5.736	4.874
1511030092347	6.1	5.794	4.96
1511030092357	6.196	5.813	4.999
1511030092367	6.205	5.746	4.999
1511030092381	6.177	5.602	5.056
1511030092387	6.186	5.564	5.142
1511030092397	6.043	5.612	5.2
1511030092409	5.956	5.775	5.248
1511030092417	6.024	5.928	5.257
1511030092427	6.186	6.043	5.209
1511030092463	6.273	6.052	5.162
1511030092464	6.311	5.947	5.19
1511030092464	6.273	5.813	5.248
1511030092469	6.158	5.679	5.305
1511030092488	6.081	5.602	5.411
1511030092491	6.11	5.612	5.458
1511030092507	6.205	5.65	5.439
1511030092508	6.282	5.631	5.411
1511030092520	6.32	5.564	5.372
1511030092532	6.368	5.564	5.363
1511030092537	6.397	5.612	5.391
1511030092547	6.397	5.707	5.449
1511030092559	6.378	5.746	5.506
1511030092600	6.378	5.746	5.497
1511030092601	6.34	5.813	5.573
1511030092602	6.33	5.842	5.526
1511030092602	6.34	5.813	5.468
1511030092607	6.34	5.707	5.487
1511030092622	6.273	5.593	5.449
1511030092633	6.205	5.43	5.43
1511030092640	6.167	5.267	5.42
1511030092651	6.196	5.142	5.401
1511030092657	6.205	5.028	5.296
1511030092667	6.167	4.922	5.2
1511030092680	6.138	4.836	5.114
1511030092687	6.148	4.769	5.133
1511030092697	6.119	4.75	5.056
1511030092710	6.062	4.798	4.874
1511030092717	6.129	4.836	4.826
1511030092727	6.205	5.008	4.855
1511030092739	6.234	5.114	4.807
1511030092747	6.215	5.104	4.788
1511030092757	6.138	5.085	4.807
1511030092769	6.071	5.018	4.788
1511030092777	6.091	4.989	4.817
1511030092787	6.158	5.028	5.056
1511030092799	6.215	5.066	4.951
1511030092807	6.253	5.066	4.951
1511030092817	6.292	5.075	4.951
1511030092829	6.301	5.133	4.97
1511030092837	6.349	5.257	4.913
1511030092847	6.359	5.296	4.913
1511030092860	6.32	5.363	4.884
1511030092867	6.34	5.42	4.846
1511030092877	6.349	5.439	4.874
1511030092891	6.349	5.497	4.788
1511030092897	6.368	5.497	4.711
1511030092907	6.368	5.439	4.731
1511030092920	6.273	5.363	4.606
1511030092939	6.33	5.324	4.692
1511030092943	6.225	5.075	4.759
1511030092952	6.043	4.702	4.769
1511030092957	5.851	4.482	4.664
1511030092969	5.679	4.309	4.692
1511030092982	5.755	4.357	5.104
1511030092987	5.928	4.606	5.573
1511030093007	6.186	5.008	5.928
1511030093011	6.349	5.411	6.119
1511030093017	6.273	5.66	6.014
1511030093028	6.033	5.775	5.43
1511030093042	5.985	5.889	4.798
1511030093047	6.359	6.311	4.319
1511030093057	6.809	6.876	3.821
1511030093071	6.885	7.23	3.313
1511030093077	6.426	7.02	2.873
1511030093089	5.918	6.426	2.576
1511030093102	5.822	5.822	2.528
1511030093107	5.985	5.535	3.055
1511030093117	6.273	5.621	3.936
1511030093130	6.512	5.794	4.482
1511030093137	6.598	5.813	4.874
1511030093147	6.512	5.813	5.219
1511030093160	6.502	5.842	5.344
1511030093167	6.617	5.928	5.324
1511030093177	6.713	6.148	5.401
1511030093191	6.79	6.34	5.391
1511030093197	6.847	6.522	5.19
1511030093207	6.885	6.569	4.692
1511030093220	6.866	6.569	4.233
1511030093227	6.751	6.636	3.945
1511030093237	6.589	6.675	3.773
1511030093250	6.56	6.474	3.677
1511030093257	6.522	6.177	3.725
1511030093267	6.349	5.985	4.099
1511030093287	6.34	6.1	4.156
1511030093297	6.387	6.244	4.003
1511030093310	6.359	6.263	3.888
1511030093317	6.378	6.196	3.83
1511030093327	6.359	6.043	3.802
1511030093339	6.167	5.861	3.974
1511030093347	5.976	5.612	4.127
1511030093357	5.956	5.478	4.395
1511030093370	6.091	5.64	4.261
1511030093377	6.263	5.928	4.233
1511030093395	6.426	6.186	3.984
1511030093399	6.445	6.368	3.83
1511030093416	6.435	6.397	3.782
1511030093421	6.397	6.397	4.022
1511030093434	6.349	6.541	3.964
1511030093437	6.349	6.694	3.725
1511030093448	6.435	6.847	3.601
1511030093461	6.531	6.895	3.706
1511030093467	6.55	6.866	3.639
1511030093478	6.531	6.656	3.639
1511030093493	6.512	6.483	3.668
1511030093497	6.608	6.378	3.725
1511030093507	6.55	6.253	3.878
1511030093521	6.416	6.1	3.782
1511030093527	6.282	5.956	3.725
1511030093537	6.205	5.851	3.677
1511030093551	6.205	5.861	3.639
1511030093557	6.282	6.004	3.505
1511030093568	6.292	6.234	3.361
1511030093580	6.282	6.426	3.332
1511030093587	6.225	6.541	3.39
1511030093597	6.282	6.541	3.524
1511030093611	6.253	6.56	3.495
1511030093619	6.215	6.761	3.457
1511030093627	6.062	6.761	3.514
1511030093637	6.158	6.704	3.476
1511030093647	6.091	6.569	3.533
1511030093657	6.215	6.445	3.581
1511030093667	6.273	6.387	3.601
1511030093677	6.196	6.435	3.581
1511030093687	6.129	6.502	3.601
1511030093697	6.158	6.569	3.543
1511030093707	6.215	6.617	3.524
1511030093717	6.253	6.675	3.486
1511030093727	6.349	6.713	3.409
1511030093737	6.33	6.704	3.447
1511030093747	6.263	6.627	3.505
1511030093757	6.225	6.608	3.562
1511030093767	6.263	6.665	3.668
1511030093777	6.32	6.876	3.696
1511030093787	6.301	7.144	3.754
1511030093797	6.349	7.297	3.687
1511030093807	6.34	7.24	3.658
1511030093817	6.273	7.087	3.572
1511030093827	6.081	6.857	3.399
1511030093844	5.698	6.445	3.074
1511030093848	5.123	5.899	2.7
1511030093867	4.654	5.286	2.059
1511030093869	4.386	4.74	1.465
1511030093879	4.242	4.376	1.216
1511030093888	4.175	4.252	1.34
1511030093899	4.271	4.501	1.905
1511030093907	5.181	5.458	3.141
1511030093917	8.035	7.537	5.334
1511030093928	10.774	10.735	7.125
1511030093937	9.787	13.915	7.058
1511030093947	7.115	14.499	6.091
1511030093957	6.014	11.942	4.577
1511030093967	5.985	8.676	3.917
1511030093977	6.732	5.909	4.06
1511030093987	7.47	3.945	4.261
1511030093997	7.154	3.045	3.974
1511030094007	6.11	3.419	3.629
1511030094017	5.123	4.74	3.246
1511030094027	5.047	6.301	2.777
1511030094037	5.612	7.537	2.403
1511030094047	5.947	8.236	2.557
1511030094061	5.794	8.475	2.863
1511030094067	5.353	8.37	2.988
1511030094077	4.903	8.15	2.997
1511030094087	4.75	7.91	2.719
1511030094097	4.941	7.604	2.528
1511030094107	5.401	7.23	2.806
1511030094117	5.947	6.79	3.179
1511030094127	6.311	6.589	3.457
1511030094140	6.378	6.723	3.648
1511030094147	6.263	7.067	3.773
1511030094157	6.205	7.355	3.668
1511030094171	6.186	7.537	3.601
1511030094177	6.282	7.613	3.591
1511030094187	6.32	7.518	3.524
1511030094197	6.244	7.182	3.466
1511030094207	6.129	6.694	3.438
1511030094217	6.052	6.215	3.361
1511030094227	6.043	5.909	3.466
1511030094237	6.11	5.87	3.524
1511030094247	6.129	6.138	3.591
1511030094257	6.167	6.569	3.562
1511030094267	6.263	7.029	3.553
1511030094277	6.435	7.374	3.399
1511030094295	6.55	7.575	3.533
1511030094297	6.598	7.632	3.419
1511030094309	6.579	7.479	3.629
1511030094317	6.464	7.221	3.543
1511030094327	6.311	6.895	3.84
1511030094337	6.196	6.636	3.802
1511030094349	6.138	6.454	3.725
1511030094357	6.11	6.368	3.687
1511030094367	6.081	6.416	3.677
1511030094379	6.225	6.502	3.61
1511030094387	6.225	6.522	3.601
1511030094397	6.244	6.531	3.591
1511030094407	6.253	6.531	3.668
1511030094417	6.253	6.56	3.735
1511030094427	6.292	6.579	3.754
1511030094437	6.244	6.569	3.83
1511030094447	6.186	6.493	3.878
1511030094457	6.119	6.416	3.821
1511030094467	6.138	6.569	3.792
1511030094477	6.234	6.522	3.773
1511030094487	6.33	6.387	3.725
1511030094497	6.292	6.407	3.782
1511030094507	6.215	6.311	3.754
1511030094517	6.158	6.34	3.792
1511030094528	6.158	6.378	3.811
1511030094537	6.186	6.378	3.897
1511030094547	6.215	6.378	4.003
1511030094557	6.301	6.387	4.041
1511030094567	6.387	6.407	4.06
1511030094577	6.416	6.407	4.079
1511030094588	6.397	6.426	4.089
1511030094597	6.368	6.445	4.146
1511030094607	6.407	6.474	4.108
1511030094617	6.435	6.493	4.06
1511030094627	6.435	6.531	4.079
1511030094637	6.454	6.493	4.051
1511030094647	6.464	6.483	4.079
1511030094657	6.435	6.493	4.118
1511030094667	6.426	6.493	4.166
1511030094678	6.435	6.474	4.271
1511030094687	6.464	6.416	4.367
1511030094697	6.493	6.349	4.462
1511030094708	6.512	6.311	4.539
1511030094717	6.541	6.215	4.817
1511030094727	6.454	6.043	4.807
1511030094744	6.215	5.842	4.491
1511030094748	6.043	5.746	4.386
1511030094769	5.947	5.727	4.491
1511030094771	5.803	5.573	4.568
1511030094778	5.602	5.315	4.453
1511030094787	5.449	5.171	4.261
1511030094800	5.324	5.152	4.309
1511030094807	5.219	5.248	4.472
1511030094817	5.056	5.42	4.424
1511030094828	5.056	5.784	4.156
1511030094837	5.19	6.378	3.917
1511030094847	5.564	7.115	3.993
1511030094858	6.033	7.92	4.175
1511030094867	6.301	8.59	4.3
1511030094877	6.225	8.973	4.415
1511030094925	5.928	9.28	4.606
1511030094926	5.545	9.672	4.558
1511030094926	5.181	10.084	4.137
1511030094927	5.104	10.218	3.754
1511030094949	5.305	10.075	3.553
1511030094950	5.391	9.73	3.361
1511030094951	5.2	9.174	3.352
1511030094957	4.836	8.427	3.332
1511030094967	4.51	7.489	3.38
1511030094978	4.434	6.454	3.687
1511030094987	4.52	5.506	4.175
1511030094997	4.606	4.826	4.644
1511030095008	4.568	4.453	5.075
1511030095017	4.367	4.367	5.277
1511030095057	4.118	4.357	5.324
1511030095058	3.984	4.328	5.344
1511030095058	3.984	4.233	5.372
1511030095059	3.945	4.357	5.439
1511030095069	4.328	4.75	5.305
1511030095077	4.271	5.583	5.152
1511030095087	4.826	6.828	4.635
1511030095099	5.267	9.021	3.897
1511030095107	5.267	8.954	3.16
1511030095117	5.315	9.155	3.064
1511030095128	5.277	8.801	3.352
1511030095137	5.277	8.063	3.974
1511030095147	5.133	7.087	4.644
1511030095158	5.219	6.215	5.142
1511030095167	5.219	5.679	5.372
1511030095177	5.181	5.564	5.411
1511030095195	5.142	6.071	5.296
1511030095205	5.171	6.071	5.095
1511030095208	5.181	6.301	4.98
1511030095224	5.2	6.426	4.893
1511030095234	5.238	6.723	4.635
1511030095239	5.181	6.818	4.3
1511030095248	5.133	6.866	4.204
1511030095257	5.095	6.866	4.137
1511030095267	5.133	6.713	4.127
1511030095292	5.19	6.569	4.252
1511030095293	5.229	6.541	4.491
1511030095302	5.267	6.617	4.616
1511030095311	5.353	6.646	4.616
1511030095317	5.401	6.646	4.606
1511030095327	5.43	6.617	4.625
1511030095339	5.411	6.617	4.711
1511030095347	5.401	6.627	4.731
1511030095361	5.353	6.665	4.759
1511030095368	5.334	6.732	4.74
1511030095377	5.353	6.799	4.644
1511030095397	5.372	6.866	4.597
1511030095398	5.382	6.914	4.587
1511030095407	5.382	6.972	4.482
1511030095417	5.363	6.914	4.424
1511030095429	5.315	6.876	4.472
1511030095437	5.277	6.847	4.51
1511030095447	5.267	6.818	4.52
1511030095459	5.286	6.828	4.529
1511030095467	5.286	6.847	4.482
1511030095477	5.305	6.809	4.501
1511030095488	5.286	6.809	4.558
1511030095498	5.248	6.79	4.568
1511030095511	5.219	6.828	4.625
1511030095523	5.2	6.866	4.577
1511030095527	5.238	6.857	4.549
1511030095538	5.277	6.857	4.558
1511030095551	5.286	6.847	4.529
1511030095557	5.248	6.838	4.568
1511030095567	5.2	6.828	4.539
1511030095579	5.162	6.857	4.52
1511030095589	5.162	6.905	4.577
1511030095597	5.229	6.972	4.549
1511030095609	5.286	6.991	4.453
1511030095617	5.324	6.953	4.405
1511030095627	5.296	6.885	4.434
1511030095645	5.248	6.809	4.453
1511030095654	5.209	6.751	4.501
1511030095669	5.162	6.78	4.52
1511030095670	5.171	6.818	4.472
1511030095677	5.171	6.857	4.443
1511030095690	5.209	6.838	4.491
1511030095702	5.171	6.79	4.539
1511030095723	5.171	6.771	4.549
1511030095723	5.152	6.79	4.549
1511030095730	5.162	6.79	4.568
1511030095737	5.171	6.809	4.606
1511030095747	5.142	6.79	4.635
1511030095760	5.152	6.771	4.606
1511030095767	5.152	6.742	4.597
1511030095777	5.075	6.742	4.558
1511030095789	5.018	6.78	4.606
1511030095798	4.97	6.771	4.606
1511030095818	4.932	6.723	4.635
1511030095820	4.893	6.665	4.721
1511030095827	4.913	6.656	4.721
1511030095837	4.922	6.579	4.491
1511030095851	4.989	6.55	4.549
1511030095857	4.989	6.569	4.549
1511030095869	5.037	6.589	4.587
1511030095881	5.056	6.675	4.606
1511030095887	5.075	6.799	4.616
