timestamp	x	y	z
1513024335866	9.021352	1.0630256	3.964798
1513024335866	9.059659	1.1013328	3.9743748
1513024335871	9.088389	1.0821792	4.1276035
1513024335880	9.069236	1.043872	4.2425256
1513024335890	9.030929	0.9672575	4.261679
1513024335899	9.040505	0.8810662	4.175488
1513024335913	9.021352	0.7661445	4.0701427
1513024335923	8.992621	0.7086837	4.0222588
1513024335933	9.002198	0.63206923	3.9456444
1513024335944	9.021352	0.5746084	3.86903
1513024335955	9.050082	0.58418524	3.8498764
1513024335963	9.040505	0.59376204	3.8977604
1513024335974	9.059659	0.61291564	3.9456444
1513024335983	9.097966	0.6512229	3.964798
1513024335995	9.11712	0.7086837	3.9839516
1513024336010	9.126697	0.7757214	3.9935284
1513024336015	9.11712	0.80445176	3.964798
1513024336024	9.14585	0.81402856	3.9360676
1513024336033	9.155427	0.79487497	3.916914
1513024336043	9.107543	0.78529817	3.8977604
1513024336057	9.078813	0.7565677	3.8594532
1513024336064	9.088389	0.7374141	3.8115692
1513024336074	9.11712	0.7278373	3.7732618
1513024336084	9.174581	0.7469909	3.7445314
1513024336095	9.232041	0.7565677	3.715801
1513024336105	9.270349	0.7661445	3.6870706
1513024336114	9.299079	0.7757214	3.6583402
1513024336125	9.32781	0.7661445	3.6391866
1513024336134	9.337387	0.7757214	3.6008794
1513024336144	9.3661175	0.79487497	3.5434184
1513024336157	9.394848	0.8331822	3.514688
1513024336164	9.433155	0.8619126	3.5242648
1513024336174	9.481039	0.90021986	3.5051112
1513024336184	9.557653	0.94810385	3.4859576
1513024336195	9.624691	0.9959879	3.5051112
1513024336207	9.691729	1.0247183	3.572149
1513024336214	9.730036	1.0151415	3.6487634
1513024336224	9.758766	0.9768343	3.7062242
1513024336234	9.80665	0.93852705	3.7349546
1513024336244	9.883265	0.91937345	3.7445314
1513024336255	9.959879	0.90979666	3.7541082
1513024336264	10.0269165	0.91937345	3.7732618
1513024336274	10.103531	0.92895025	3.7828386
1513024336284	10.189722	0.8810662	3.7924154
1513024336294	10.28549	0.78529817	3.8019924
1513024336305	10.371682	0.6991069	3.8402996
1513024336314	10.43872	0.641646	3.8977604
1513024336325	10.505757	0.6512229	3.9264908
1513024336334	10.553641	0.6895301	3.9360676
1513024336344	10.5919485	0.7661445	3.9456444
1513024336356	10.582372	0.8331822	3.9552212
1513024336365	10.505757	0.8810662	3.9456444
1513024336375	10.390836	0.91937345	3.9552212
1513024336389	10.304645	0.92895025	3.9360676
1513024336396	10.237606	0.93852705	3.916914
1513024336406	10.180145	0.94810385	3.9073372
1513024336415	10.113108	0.9864111	3.8977604
1513024336425	10.0269165	1.0055647	3.8881836
1513024336439	9.950302	0.9959879	3.8307228
1513024336446	9.854534	0.9768343	3.6870706
1513024336456	9.710882	0.93852705	3.5242648
1513024336465	9.519346	0.8619126	3.3997664
1513024336476	9.241618	0.7757214	3.3039982
1513024336487	8.925584	0.6991069	3.1986535
1513024336495	8.590396	0.641646	3.064578
1513024336505	8.226477	0.61291564	2.9113493
1513024336515	7.843405	0.58418524	2.7581203
1513024336526	7.4603324	0.50757074	2.6144683
1513024336537	7.0964136	0.41180268	2.4995465
1513024336546	6.8282633	0.31603462	2.3558946
1513024336556	6.703765	0.23942018	2.1739352
1513024336565	6.6175733	0.20111294	2.1068976
1513024336578	6.579266	0.19153613	2.0973208
1513024336587	6.655881	0.20111294	2.1068976
1513024336595	6.847417	0.25857377	2.078167
1513024336605	7.0485296	0.37349546	2.1260512
1513024336615	7.1730285	0.48841715	2.2697031
1513024336626	7.240066	0.5746084	2.5187001
1513024336639	7.28795	0.62249243	2.5378537
1513024336646	7.335834	0.641646	2.5474305
1513024336656	7.393295	0.6512229	2.5570073
1513024336666	7.517793	0.641646	2.566584
1513024336676	7.824251	0.7278373	2.6048915
1513024336689	8.283937	0.8523358	2.7964275
1513024336697	9.155427	0.9768343	3.1124623
1513024336706	9.404425	1.0630256	3.41892
1513024336716	9.500193	1.1109096	3.6391866
1513024336726	9.394848	1.091756	3.7062242
1513024336738	9.107543	0.91937345	3.6104562
1513024336747	8.791509	0.6703765	3.3614593
1513024336756	8.619126	0.45968673	3.0454245
1513024336766	8.714894	0.39264908	2.777274
1513024336776	9.078813	0.49799395	2.6623523
1513024336787	9.586384	0.7086837	2.7868507
1513024336797	9.998186	0.91937345	3.122039
1513024336806	10.132261	1.0342951	3.4859576
1513024336816	9.959879	1.0247183	3.6966474
1513024336826	9.634268	0.8523358	3.7062242
1513024336836	9.3661175	0.5650316	3.5242648
1513024336846	9.299079	0.31603462	3.3039982
1513024336857	9.481039	0.22984336	3.2082303
1513024336869	9.854534	0.32561144	3.2752678
1513024336877	10.25676	0.59376204	3.4763808
1513024336887	10.534488	0.91937345	3.763685
1513024336897	10.67814	1.1587936	4.0318356
1513024336907	10.697293	1.2641385	4.185065
1513024336920	10.601525	1.2258313	4.1946416
1513024336928	10.429143	1.091756	4.0701427
1513024336937	10.304645	0.9768343	3.8977604
1513024336947	10.381259	0.90979666	3.7349546
1513024336958	10.7356	0.91937345	3.6391866
1513024336969	11.21444	0.9959879	3.6487634
1513024336977	11.568783	1.1204864	3.7924154
1513024336987	11.549629	1.283292	3.916914
1513024336997	11.147403	1.388637	3.9935284
1513024337008	10.534488	1.4077905	4.098873
1513024337019	9.873688	1.283292	4.185065
1513024337027	9.260772	1.0726024	4.2425256
1513024337038	8.743625	0.842759	4.271256
1513024337048	8.39886	0.641646	4.2521024
