timestamp	x	y	z
1517160724062	11.013	-1.704	-1.857
1517160724082	11.119	-1.149	-2.231
1517160724083	11.224	-0.229	-2.384
1517160724107	11.042	0.306	-1.896
1517160724118	11.119	-0.095	-0.967
1517160724121	11.119	-0.689	-0.967
1517160724131	11.052	-0.718	-0.842
1517160724147	10.965	-0.44	-0.938
1517160724153	10.822	-0.153	-0.986
1517160724165	10.735	-0.181	-1.206
1517160724180	10.678	-0.392	-1.264
1517160724181	10.573	-0.679	-1.168
1517160724195	10.266	-1.139	-0.89
1517160724204	10.132	-1.34	-0.89
1517160724211	10.247	-1.197	-0.766
1517160724221	9.988	-1.034	-0.526
1517160724234	9.625	-0.574	-0.785
1517160724241	9.289	0.335	-0.747
1517160724251	9.107	1.024	-1.015
1517160724268	9.146	1.417	-0.555
1517160724271	9.127	1.561	0.105
1517160724281	8.839	1.637	0.43
1517160724297	8.102	1.676	0.191
1517160724312	8.159	1.8	0.191
1517160724320	8.006	2.279	-0.373
1517160724331	8.188	2.633	-0.814
1517160724341	8.303	2.949	-1.886
1517160724357	8.178	2.988	-2.202
1517160724361	8.083	3.026	-2.576
1517160724371	8.14	3.332	-2.346
1517160724385	8.217	3.629	-2.174
1517160724391	8.035	3.754	-1.685
1517160724404	7.881	3.39	-1.101
1517160724414	7.862	2.241	-0.593
1517160724421	8.303	0.871	-0.383
1517160724431	8.973	0.143	-1.264
1517160724445	8.533	0.191	-2.298
1517160724451	8.399	0.794	-2.748
1517160724461	8.878	1.723	-2.652
1517160724475	9.682	2.834	-2.106
1517160724481	10.467	3.419	-0.737
1517160724491	10.822	3.007	0.622
1517160724506	10.056	1.982	1.254
1517160724511	8.906	0.277	2.892
1517160724521	8.964	-3.802	2.145
1517160724535	9.787	-3.917	1.34
1517160724541	10.448	-2.806	0.814
1517160724551	9.376	-2.777	-1.043
1517160724567	7.958	-3.419	-3.897
1517160724571	7.719	-2.174	-5.899
1517160724601	9.098	2.442	-6.129
1517160724616	11.119	7.747	-5.717
1517160724617	12.239	9.079	-7.326
1517160724618	10.515	6.014	-6.78
1517160724635	7.316	1.388	-0.038
1517160724636	7.202	-4.194	2.604
1517160724641	8.849	-9.404	2.499
1517160724655	11.617	-10.19	2.432
1517160724674	12.249	-6.177	2.288
1517160724675	9.95	-2.25	-0.507
1517160724686	8.437	0.478	-4.29
1517160724691	10.123	4.443	-4.338
1517160724701	13.771	7.891	-4.597
1517160724712	13.973	7.154	-4.625
1517160724723	11.08	2.691	-1.197
1517160724748	10.937	-3.419	2.403
1517160724754	10.984	-3.639	2.48
1517160724762	9.538	-2.394	1.158
1517160724775	7.738	-0.861	0.718
1517160724781	7.23	-1.216	-1.877
1517160724791	8.686	-0.316	-4.099
1517160724806	11.578	2.786	-3.533
1517160724811	13.044	4.731	-4.233
1517160724821	12.0	4.721	-4.558
1517160724837	10.601	3.725	-3.074
1517160724841	9.596	2.231	-1.455
1517160724852	8.82	0.21	0.057
1517160724866	8.868	-1.379	1.015
1517160724871	9.49	-1.8	0.804
1517160724881	9.883	-1.168	0.383
1517160724896	9.95	-0.699	-0.871
1517160724901	10.094	-0.287	-2.154
1517160724911	10.314	0.086	-2.298
1517160724927	10.257	-0.498	-2.403
1517160724931	10.218	-1.647	-2.729
1517160724941	10.659	-2.059	-2.585
1517160724959	10.975	-1.944	-2.068
1517160724961	10.774	-2.097	-1.666
1517160724972	10.324	-2.604	-1.417
1517160724985	10.103	-2.882	-0.957
1517160724991	10.199	-2.767	-0.66
1517160725001	10.276	-2.451	-0.545
1517160725017	10.075	-2.183	-0.526
1517160725021	9.988	-1.992	-0.718
1517160725031	10.046	-1.743	-0.842
1517160725046	10.103	-1.379	-1.101
1517160725051	10.094	-1.043	-1.321
1517160725061	9.979	-0.89	-1.407
1517160725079	9.787	-1.005	-1.331
1517160725081	9.682	-1.245	-1.13
1517160725092	9.634	-1.551	-0.909
1517160725111	9.5	-1.867	-0.756
1517160725113	9.261	-2.059	-0.948
1517160725126	9.261	-2.154	-1.283
1517160725136	9.385	-1.915	-1.867
1517160725143	9.605	-1.388	-2.327
1517160725151	10.046	-0.67	-2.739
1517160725166	10.228	-0.019	-2.968
1517160725171	10.314	0.383	-2.796
1517160725181	10.314	0.488	-2.432
1517160725196	10.515	0.277	-1.934
1517160725201	10.419	-0.316	-1.398
1517160725211	10.008	-1.034	-1.11
1517160725227	10.161	-1.446	-1.216
1517160725231	10.237	-1.35	-1.484
1517160725241	10.305	-0.814	-1.79
1517160725259	10.237	-0.143	-2.068
1517160725261	10.161	0.316	-2.193
1517160725272	10.142	0.038	-2.279
1517160725291	10.056	0.086	-2.212
1517160725292	9.95	-0.794	-2.03
1517160725304	9.883	-0.928	-1.867
1517160725321	9.941	-0.976	-1.704
1517160725322	9.988	-0.785	-1.628
1517160725335	9.988	-0.871	-1.608
1517160725355	9.921	-0.948	-1.494
1517160725362	9.826	-1.063	-1.379
1517160725364	9.787	-1.168	-1.331
1517160725376	9.854	-1.177	-1.34
1517160725399	9.96	-1.12	-1.455
1517160725405	9.998	-0.996	-1.599
1517160725414	9.95	-0.89	-1.743
1517160725419	9.921	-0.833	-1.819
1517160725422	9.931	-0.842	-1.848
1517160725436	9.96	-0.919	-1.838
1517160725451	9.931	-1.091	-1.771
1517160725454	9.883	-1.264	-1.628
1517160725467	9.883	-1.369	-1.484
1517160725476	9.883	-1.398	-1.398
1517160725485	9.902	-1.369	-1.312
1517160725494	9.95	-1.254	-1.359
1517160725509	9.95	-1.149	-1.465
1517160725517	9.902	-1.091	-1.532
1517160725523	9.893	-1.101	-1.656
1517160725539	9.883	-1.082	-1.676
1517160725544	9.912	-0.996	-1.695
1517160725560	9.95	-0.976	-1.685
1517160725561	9.931	-0.928	-1.676
1517160725579	9.931	-1.015	-1.695
1517160725592	9.787	-1.177	-1.618
1517160725593	9.787	-1.273	-1.647
1517160725602	9.874	-1.264	-1.541
1517160725611	9.921	-1.139	-1.522
1517160725622	9.96	-0.996	-1.532
1517160725632	9.941	-0.909	-1.608
1517160725640	9.931	-0.89	-1.628
1517160725651	9.912	-0.861	-1.666
1517160725662	9.902	-0.727	-1.714
1517160725671	9.931	-0.555	-1.781
1517160725681	10.027	-0.402	-1.771
1517160725691	10.123	-0.325	-1.829
1517160725701	10.161	-0.296	-1.79
1517160725711	10.027	-0.44	-1.723
1517160725721	9.941	-0.459	-1.656
1517160725731	9.998	-0.44	-1.781
1517160725741	10.027	-0.45	-1.762
1517160725753	10.056	-0.44	-1.723
1517160725761	9.912	-0.402	-1.762
1517160725772	9.998	-0.325	-1.992
1517160725783	10.199	-0.239	-1.81
1517160725791	10.19	-0.296	-1.781
1517160725802	10.247	-0.593	-1.608
1517160725813	9.941	-1.13	-1.302
1517160725821	9.969	-1.589	-1.302
1517160725832	10.391	-1.561	-1.235
1517160725843	10.266	-1.714	-1.599
1517160725851	10.285	-2.116	-1.599
1517160725861	10.352	-2.241	-1.695
1517160725873	10.352	-2.231	-2.423
1517160725881	10.362	-2.164	-2.423
1517160725891	10.439	-2.03	-2.499
1517160725903	10.381	-2.001	-2.298
1517160725911	10.381	-2.403	-1.992
1517160725921	10.391	-3.026	-1.647
1517160725933	10.697	-3.399	-1.321
1517160725941	10.735	-3.773	-0.986
1517160725951	10.103	-4.051	-0.909
1517160725963	11.061	-3.897	-1.302
1517160725971	11.54	-2.873	-1.743
1517160725981	11.262	-1.57	-2.039
1517160725993	11.894	0.44	-2.317
1517160726001	12.201	0.44	-1.944
1517160726011	11.981	1.254	-1.79
1517160726023	11.626	1.312	-1.838
1517160726031	11.435	1.312	-1.264
1517160726041	11.214	1.57	-1.091
1517160726054	10.803	0.622	-0.881
1517160726061	10.448	0.392	-0.526
1517160726071	10.142	-0.134	-0.478
1517160726083	9.854	-0.076	-0.363
1517160726091	9.471	0.105	-0.421
1517160726101	8.935	0.258	-0.727
1517160726114	8.552	0.689	-0.718
1517160726126	8.322	1.139	-0.996
1517160726145	8.073	1.532	-1.12
1517160726146	7.929	1.905	-0.967
1517160726161	7.604	2.892	-0.699
1517160726174	7.316	2.863	-0.584
1517160726181	7.106	2.499	-0.411
1517160726213	7.144	2.269	-0.095
1517160726217	7.326	1.905	0.162
1517160726221	7.431	1.589	0.229
1517160726224	7.383	1.57	-0.402
1517160726234	7.345	2.039	-1.455
1517160726254	7.585	2.988	-2.384
1517160726256	7.958	3.945	-3.045
1517160726261	8.102	3.984	-3.562
1517160726271	7.91	2.786	-3.304
1517160726282	8.188	1.331	-2.221
1517160726294	8.849	0.181	-1.35
1517160726301	9.222	-0.402	-0.928
1517160726313	9.567	-0.727	-0.909
1517160726325	9.797	-0.89	-1.005
1517160726331	10.247	-0.641	-1.12
1517160726342	10.774	-0.239	-1.321
1517160726353	10.764	-0.392	-1.455
1517160726361	10.324	-1.426	-1.216
1517160726374	10.352	-2.231	-0.9
1517160726383	10.755	-2.336	-0.938
1517160726391	11.013	-1.589	-1.331
1517160726401	11.071	-0.593	-1.8
1517160726413	10.735	-0.21	-1.762
1517160726421	10.544	0.143	-1.34
1517160726431	10.994	-0.134	-1.561
1517160726442	10.63	-1.369	-1.12
1517160726451	10.544	-2.537	-1.676
1517160726461	10.285	-2.576	-1.254
1517160726473	9.96	-2.327	-2.777
1517160726480	9.663	-0.842	-2.882
1517160726491	9.586	1.465	-3.371
1517160726501	9.174	2.94	-3.735
1517160726511	8.839	3.284	-3.773
1517160726521	9.127	2.968	-3.601
1517160726531	9.768	2.672	-2.403
1517160726541	10.515	2.135	-1.398
1517160726551	10.515	1.426	-0.622
1517160726565	9.711	0.881	0.909
1517160726571	9.644	0.268	0.909
1517160726581	9.701	-0.45	0.881
1517160726594	9.988	-0.833	0.21
1517160726601	10.075	-1.12	0.21
1517160726613	9.625	-1.704	-0.928
1517160726625	9.921	-1.666	-2.815
1517160726631	9.988	-0.354	-2.815
1517160726641	10.611	1.608	-3.773
1517160726655	10.611	3.007	-3.687
1517160726661	10.611	2.7	-2.461
1517160726671	10.17	0.833	-0.775
1517160726685	9.72	-2.786	0.201
1517160726691	9.72	-2.786	0.354
1517160726701	9.711	-3.447	-0.325
1517160726714	10.295	-2.968	-1.273
1517160726721	10.295	-2.968	-2.365
1517160726731	10.841	-2.078	-2.901
1517160726744	11.846	-0.526	-2.777
1517160726751	11.186	1.235	-2.451
1517160726761	10.017	1.8	-1.886
1517160726774	9.356	-1.005	-1.34
1517160726781	9.739	-1.043	-0.871
1517160726791	10.036	-2.26	-0.861
1517160726805	9.883	-2.279	-1.398
1517160726811	9.625	-2.164	-1.982
1517160726821	9.586	-0.507	-2.355
1517160726834	9.625	-0.114	-2.451
1517160726841	9.739	-0.268	-2.394
1517160726851	9.739	-0.861	-2.135
1517160726871	9.835	-1.436	-1.465
1517160726881	9.969	-0.967	-1.407
1517160726895	10.285	-0.028	-1.503
1517160726901	10.515	0.699	-1.494
1517160726911	10.17	0.612	-1.465
1517160726925	9.854	0.047	-1.283
1517160726931	9.941	-0.44	-1.091
