timestamp	x	y	z
1510173683120	9.567	0.45	2.365
1510173683126	9.548	0.459	2.384
1510173683146	9.567	0.43	2.384
1510173683148	9.586	0.44	2.384
1510173683168	9.596	0.411	2.403
1510173683176	9.605	0.411	2.423
1510173683178	9.577	0.44	2.432
1510173683194	9.567	0.43	2.432
1510173683196	9.557	0.43	2.461
1510173683208	9.548	0.44	2.432
1510173683216	9.548	0.421	2.432
1510173683226	9.577	0.43	2.442
1510173683239	9.557	0.44	2.432
1510173683246	9.557	0.421	2.432
1510173683256	9.557	0.45	2.423
1510173683268	9.538	0.459	2.394
1510173683276	9.577	0.45	2.384
1510173683288	9.538	0.45	2.403
1510173683300	9.538	0.421	2.423
1510173683306	9.548	0.373	2.423
1510173683316	9.548	0.363	2.423
1510173683329	9.557	0.335	2.432
1510173683336	9.557	0.344	2.47
1510173683346	9.557	0.354	2.49
1510173683357	9.548	0.344	2.49
1510173683366	9.557	0.363	2.49
1510173683379	9.557	0.373	2.47
1510173683396	9.557	0.373	2.327
1510173683423	9.586	0.373	2.403
1510173683424	9.567	0.373	2.403
1510173683440	9.557	0.373	2.375
1510173683442	9.567	0.354	2.375
1510173683450	9.538	0.344	2.355
1510173683460	9.538	0.344	2.384
1510173683474	9.519	0.344	2.432
1510173683479	9.51	0.373	2.403
1510173683486	9.51	0.402	2.384
1510173683496	9.692	0.421	2.355
1510173683508	9.634	0.478	2.327
1510173683516	9.701	0.478	2.336
1510173683556	9.73	0.469	2.394
1510173683557	9.73	0.258	2.509
1510173683558	9.701	0.114	2.633
1510173683561	9.634	0.143	2.691
1510173683567	9.538	0.095	2.719
1510173683576	9.423	0.047	2.691
1510173683586	9.376	0.086	2.614
1510173683598	9.366	0.153	2.461
1510173683606	9.395	0.249	2.279
1510173683616	9.433	0.335	2.154
1510173683631	9.471	0.411	2.078
1510173683636	9.548	0.45	2.068
1510173683646	9.577	0.45	2.154
1510173683658	9.615	0.392	2.241
1510173683666	9.634	0.325	2.384
1510173683677	9.634	0.239	2.48
1510173683689	9.634	0.153	2.585
1510173683696	9.625	0.105	2.614
1510173683707	9.605	0.067	2.576
1510173683719	9.577	0.047	2.518
1510173683727	9.548	0.057	2.423
1510173683737	9.548	0.067	2.403
1510173683751	9.51	0.114	2.336
1510173683761	9.51	0.134	2.288
1510173683768	9.481	0.172	2.317
1510173683781	9.471	0.21	2.346
1510173683791	9.5	0.21	2.375
1510173683798	9.51	0.201	2.394
1510173683811	9.538	0.201	2.384
1510173683816	9.557	0.191	2.365
1510173683827	9.577	0.143	2.355
1510173683841	9.577	0.114	2.355
1510173683846	9.548	0.076	2.403
1510173683856	9.51	0.057	2.413
1510173683871	9.49	0.019	2.432
1510173683876	9.471	-0.009	2.423
1510173683887	9.443	-0.067	2.403
1510173683901	9.443	-0.076	2.423
1510173683906	9.443	-0.076	2.394
1510173683917	9.462	-0.047	2.336
1510173683931	9.49	-0.019	2.308
1510173683936	9.529	-0.019	2.288
1510173683947	9.577	-0.028	2.231
1510173683961	9.567	0.038	2.135
1510173683966	9.586	0.124	2.011
1510173683977	9.663	0.296	2.02
1510173683992	9.835	0.526	1.915
1510173683996	10.017	0.699	1.915
1510173684007	10.132	0.871	1.762
1510173684021	10.199	1.034	1.417
1510173684026	10.237	1.254	1.417
1510173684037	10.343	1.494	1.292
1510173684051	10.621	1.723	1.12
1510173684056	10.611	1.857	1.12
1510173684067	10.735	1.944	1.283
1510173684082	11.166	1.963	2.097
1510173684086	11.119	2.078	2.097
1510173684097	11.358	2.068	2.087
1510173684111	12.038	2.116	2.518
1510173684116	12.038	2.327	2.518
1510173684127	12.364	2.47	1.953
1510173684141	12.277	2.25	1.848
1510173684146	12.277	2.193	1.848
1510173684157	12.488	1.905	1.426
1510173684172	13.465	0.833	1.484
1510173684176	13.465	0.833	1.551
1510173684187	13.906	0.067	1.455
1510173684202	14.471	-1.589	1.158
1510173684206	14.471	-1.532	0.785
1510173684217	13.503	-2.011	0.162
1510173684231	12.728	-1.81	-0.584
1510173684296	11.655	-1.81	-1.254
1510173684303	9.893	-1.379	-1.541
1510173684312	8.217	-0.354	-1.551
1510173684321	6.838	-0.354	-1.312
1510173684326	5.775	0.44	-0.775
1510173684331	5.19	2.059	-0.21
1510173684335	4.836	2.059	0.249
1510173684344	4.644	2.873	0.421
1510173684355	4.558	2.825	0.363
1510173684360	4.434	2.49	0.143
1510173684363	4.175	2.001	-0.153
1510173684376	3.83	1.359	-0.383
1510173684379	3.409	0.737	-0.43
1510173684379	3.102	0.258	-0.43
1510173684382	3.083	-0.114	-0.43
1510173684392	3.38	-0.344	-0.43
1510173684396	3.84	-0.45	-0.296
1510173684408	4.405	-0.498	-0.028
1510173684417	5.181	-0.536	0.22
1510173684427	6.215	-0.584	0.565
1510173684439	7.403	-0.574	0.842
1510173684446	8.629	-0.478	1.091
1510173684457	9.778	-0.306	1.053
1510173684470	10.716	-0.038	0.718
1510173684476	11.348	0.325	0.22
1510173684487	11.655	0.775	-0.201
1510173684497	11.904	1.158	-0.545
1510173684507	12.287	1.503	-0.679
1510173684517	12.737	1.81	-0.708
1510173684529	12.862	2.011	-0.517
1510173684536	12.526	2.106	-0.43
1510173684547	11.952	2.135	-0.392
1510173684559	11.358	2.03	-0.306
1510173684577	10.103	1.12	0.344
1510173684591	9.663	0.565	0.842
1510173684596	9.433	0.038	1.273
1510173684606	9.366	-0.354	1.618
1510173684619	9.586	-0.612	2.068
1510173684626	10.362	-0.756	2.633
1510173684636	11.904	-0.756	3.265
1510173684648	13.915	-0.708	3.782
1510173684656	16.108	-0.517	3.275
1510173684666	17.2	-0.009	0.019
1510173684678	15.821	0.459	-3.869
1510173684686	13.724	1.101	-5.229
1510173684697	13.034	1.886	-4.453
1510173684710	12.191	2.403	-1.953
1510173684716	10.956	2.643	1.369
1510173684727	10.113	2.231	4.539
1510173684740	9.625	1.331	6.397
1510173684746	9.165	0.287	6.33
1510173684757	8.81	-0.919	5.353
1510173684770	8.82	-2.097	4.625
1510173684776	9.308	-3.179	3.581
1510173684787	9.615	-3.907	2.643
1510173684800	9.625	-4.127	1.877
1510173684806	9.127	-3.763	1.053
1510173684817	8.303	-3.007	-0.047
1510173684831	7.853	-2.078	-0.852
1510173684836	7.987	-1.12	-0.909
1510173684847	8.552	-0.191	-0.373
1510173684861	10.18	0.727	1.005
1510173684866	10.314	1.685	1.005
1510173684877	11.004	2.557	1.589
1510173684891	11.32	3.208	1.503
1510173684896	11.224	3.533	1.35
1510173684907	10.898	3.419	1.34
1510173684921	10.218	2.834	1.254
1510173684926	10.266	1.886	1.254
1510173684937	10.228	0.9	1.359
1510173684951	10.324	-0.028	1.283
1510173684956	10.305	-0.775	1.139
1510173684967	9.634	-1.273	0.948
1510173684982	9.376	-1.522	0.794
1510173684986	9.136	-1.503	0.852
1510173684997	8.954	-1.312	1.091
1510173685011	9.174	-0.967	1.369
1510173685016	9.318	-0.565	1.637
1510173685027	9.49	-0.124	1.752
1510173685042	9.567	0.354	1.771
1510173685046	9.596	0.756	1.637
1510173685057	9.586	1.168	1.417
1510173685072	9.529	1.359	1.11
1510173685076	9.519	1.283	0.909
1510173685088	9.615	1.292	0.747
1510173685101	9.807	1.206	0.66
1510173685106	10.036	1.082	0.756
1510173685117	10.199	0.948	0.871
1510173685150	10.209	0.804	0.948
1510173685154	10.036	0.632	1.063
1510173685156	9.912	0.488	1.225
1510173685159	9.73	0.354	1.388
1510173685178	9.605	0.258	1.503
1510173685183	9.5	0.191	1.608
1510173685194	9.404	0.114	1.676
1510173685205	9.356	0.057	1.762
1510173685208	9.376	0.047	1.877
1510173685221	9.385	0.086	1.972
1510173685226	9.395	0.134	1.972
1510173685237	9.414	0.153	1.877
1510173685250	9.51	0.153	1.829
1510173685257	9.739	0.105	1.762
1510173685266	9.988	0.076	1.637
1510173685279	10.151	0.009	1.503
1510173685286	10.228	0.038	1.273
1510173685296	10.218	0.124	1.043
1510173685310	10.161	0.316	0.823
1510173685316	10.142	0.622	0.66
1510173685326	10.094	0.928	0.574
1510173685342	10.017	1.187	0.622
1510173685347	9.979	1.388	0.718
1510173685357	9.969	1.551	0.804
1510173685372	9.988	1.714	0.833
1510173685377	9.979	1.867	0.852
1510173685387	9.941	1.992	0.9
1510173685402	9.874	2.039	0.861
1510173685407	9.759	2.011	0.89
1510173685417	9.615	1.886	0.948
1510173685432	9.5	1.695	1.053
1510173685436	9.471	1.465	1.015
1510173685448	9.529	1.197	1.072
1510173685462	9.672	0.948	0.996
1510173685467	9.835	0.67	1.015
1510173685477	9.998	0.478	1.072
1510173685493	10.075	0.373	0.996
1510173685497	10.113	0.344	0.967
1510173685507	10.046	0.44	0.919
1510173685524	9.998	0.679	0.89
1510173685527	9.95	0.957	0.9
1510173685539	9.921	1.254	0.919
1510173685552	9.883	1.474	0.919
1510173685557	9.845	1.656	0.986
1510173685567	9.759	1.781	1.053
1510173685582	9.778	1.877	1.034
1510173685587	9.807	1.877	0.986
1510173685597	9.912	1.752	0.919
1510173685612	9.979	1.57	0.794
1510173685616	10.027	1.369	0.632
1510173685629	9.941	1.158	0.612
1510173685642	9.845	0.967	0.861
1510173685647	9.759	0.775	1.072
1510173685657	9.692	0.584	1.283
1510173685672	9.672	0.43	1.388
1510173685677	9.596	0.277	1.168
1510173685688	9.395	0.143	1.235
1510173685702	9.155	0.086	1.426
1510173685706	8.916	0.134	1.676
1510173685717	8.945	0.229	1.925
1510173685732	8.868	0.268	2.097
1510173685737	9.356	0.181	2.068
1510173685748	9.615	0.009	1.934
1510173685762	9.921	-0.153	1.771
1510173685767	10.305	-0.162	1.494
1510173685777	10.486	-0.047	1.177
1510173685792	10.554	0.114	0.871
1510173685797	10.649	0.335	0.689
1510173685807	10.659	0.498	0.833
1510173685822	10.697	0.641	1.177
1510173685826	10.755	0.9	1.618
1510173685837	10.841	0.641	1.896
1510173685852	10.994	0.756	1.953
1510173685857	11.099	0.526	1.704
1510173685868	11.042	0.45	1.283
1510173685882	10.85	0.402	0.871
1510173685887	10.697	0.44	0.679
1510173685897	10.716	0.574	0.842
1510173685912	11.023	0.775	1.254
1510173685917	11.636	1.063	1.752
1510173685927	12.316	1.35	2.068
1510173685942	12.967	1.599	2.049
1510173685947	13.436	1.676	1.723
1510173685957	13.771	1.589	1.13
1510173685972	14.001	1.369	0.325
1510173685977	14.155	1.13	-0.545
1510173685988	14.193	1.015	-1.379
1510173686002	13.81	1.015	-2.174
1510173686007	13.139	1.091	-2.652
1510173686038	12.306	1.13	-2.71
1510173686040	11.301	1.034	-2.403
1510173686044	10.19	0.871	-1.762
1510173686057	9.079	0.699	-0.986
1510173686060	8.025	0.517	-0.21
1510173686075	7.087	0.392	0.43
1510173686081	6.263	0.316	0.814
1510173686091	5.612	0.268	0.833
1510173686096	5.2	0.181	0.603
1510173686107	5.047	-0.057	0.191
1510173686117	4.989	-0.316	-0.114
1510173686126	4.884	-0.526	-0.038
1510173686137	4.778	-0.727	0.143
1510173686152	4.731	-0.861	0.143
1510173686156	4.74	-0.842	0.038
1510173686167	4.702	-0.603	-0.057
1510173686181	4.673	-0.249	-0.134
1510173686186	4.731	0.124	-0.181
1510173686197	5.047	0.373	-0.181
1510173686210	5.593	0.536	-0.057
1510173686216	6.33	0.593	0.067
1510173686227	7.115	0.641	0.095
1510173686241	7.872	0.67	-0.086
1510173686246	8.494	0.679	-0.354
1510173686257	8.887	0.747	-0.612
1510173686270	9.232	0.775	-0.766
