timestamp	x	y	z
1511105646434	8.619	5.018	-0.708
1511105646435	8.667	4.932	-0.727
1511105646436	8.705	4.932	-0.737
1511105646521	8.715	4.884	-0.756
1511105646522	8.696	4.846	-0.756
1511105646523	8.657	4.807	-0.747
1511105646527	8.609	4.798	-0.679
1511105646528	8.6	4.788	-0.632
1511105646529	8.629	4.855	-0.632
1511105646531	8.619	4.932	-0.689
1511105646532	8.619	4.922	-0.737
1511105646575	8.619	4.951	-0.766
1511105646576	8.619	4.941	-0.814
1511105646577	8.648	4.893	-0.823
1511105646578	8.629	4.807	-0.775
1511105646579	8.609	4.75	-0.737
1511105646580	8.59	4.692	-0.699
1511105646583	8.6	4.711	-0.66
1511105646636	8.609	4.75	-0.66
1511105646679	8.609	4.778	-0.679
1511105646693	8.638	4.817	-0.699
1511105646694	8.696	4.865	-0.718
1511105646695	8.782	4.893	-0.766
1511105646695	8.82	4.893	-0.804
1511105646696	8.81	4.884	-0.766
1511105646697	8.839	4.855	-0.747
1511105646698	8.801	4.846	-0.699
1511105646698	8.772	4.826	-0.679
1511105646699	8.743	4.788	-0.66
1511105646710	8.715	4.807	-0.632
1511105646714	8.705	4.855	-0.699
1511105646723	8.715	4.874	-0.699
1511105646770	8.724	4.884	-0.689
1511105646772	8.715	4.865	-0.718
1511105646773	8.696	4.874	-0.708
1511105646774	8.619	4.865	-0.766
1511105646775	8.581	4.836	-0.747
1511105646781	8.561	4.798	-0.727
1511105646796	8.542	4.807	-0.737
1511105646816	8.542	4.798	-0.718
1511105646817	8.552	4.836	-0.718
1511105646824	8.59	4.836	-0.699
1511105646833	8.648	4.807	-0.699
1511105646841	8.657	4.807	-0.67
1511105646858	8.686	4.798	-0.66
1511105646862	8.724	4.807	-0.66
1511105646873	8.715	4.798	-0.689
1511105646884	8.724	4.836	-0.679
1511105646891	8.705	4.903	-0.651
1511105646901	8.686	4.999	-0.67
1511105646913	8.696	5.018	-0.67
1511105646921	8.715	4.989	-0.66
1511105646931	8.734	4.97	-0.66
1511105646946	8.715	4.903	-0.679
1511105646951	8.696	4.874	-0.679
1511105646961	8.667	4.817	-0.689
1511105646973	8.609	4.769	-0.689
1511105646981	8.59	4.759	-0.651
1511105646992	8.6	4.75	-0.727
1511105647003	8.609	4.798	-0.756
1511105647011	8.638	4.855	-0.756
1511105647021	8.667	4.865	-0.794
1511105647034	8.696	4.874	-0.766
1511105647041	8.657	4.865	-0.747
1511105647051	8.609	4.826	-0.718
1511105647063	8.552	4.788	-0.737
1511105647071	8.533	4.798	-0.842
1511105647081	8.533	4.788	-0.976
1511105647094	8.581	4.74	-0.986
